Model,First flight,Seats,Sector,Fuel burn,Fuel per seat,CO2 per mi per seat,CO2 per mi
Airbus A330-200,1997,241,"6,000 nmi (11,000 km)",6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[66],0.2729315256161409,65.77649767348996
Airbus A330neo-800,2017,248,"4,650 nmi (8,610 km)",5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[74],0.2253271897528605,55.881143058709405
Airbus A330neo-900,2017,300,"4,650 nmi (8,610 km)",5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[74],0.2039804033552211,61.194121006566334
Airbus A340-300,1992,262,"6,000 nmi (11,000 km)",7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[66],0.28750947060454013,75.32748129838951
Airbus A350-900,2013,315,"4,972 nmi (9,208 km)",6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[67],0.19773610529332658,62.28687316739787
Airbus A350-900,2013,315,"6,542 nmi (12,116 km)",7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[75],0.23069212284221435,72.66801869529752
Airbus A380,2005,525,"7,200 nmi (13,300 km)",13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[76],0.2691408099825834,141.29892524085628
Airbus A380,2005,544,"6,000 nmi (11,000 km)",13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[77],0.2618667340371082,142.45550331618685
Boeing 747-400,1988,416,"6,000 nmi (11,000 km)",11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[78],0.2768305474106572,115.1615077228334
Boeing 747-8,2011,467,"6,000 nmi (11,000 km)",10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[69],0.233471546008988,109.0312119861974
Boeing 747-8,2011,405,"7,200 nmi (13,300 km)",10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[76],0.2768305474106572,112.11637170131617
Boeing 777-200ER,1996,301,"6,000 nmi (11,000 km)",7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[66],0.2549755041940264,76.74762676240195
Boeing 777-200ER,1996,301,"6,000 nmi (11,000 km)",7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[71],0.2549755041940264,76.74762676240195
Boeing 777-200LR,2005,291,"4,972 nmi (9,208 km)",7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[67],0.2691408099825834,78.31997570493176
Boeing 777-300ER,2003,365,"6,000 nmi (11,000 km)",8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[71],0.2392362755400741,87.32124057212704
Boeing 777-300ER,2003,344,"7,200 nmi (13,300 km)",8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[76],0.2549755041940264,87.71157344274509
Boeing 777-9X,2020,395,"7,200 nmi (13,300 km)",7.69 kg/km (27.3 lb/mi),2.42 L/100 km (97 mpg‑US)[76],0.1997746218427423,78.9109756278832
Boeing 787-8,2011,243,"4,650 nmi (8,610 km)",5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[74],0.22797809786760007,55.39867778182682
Boeing 787-9,2013,294,"4,650 nmi (8,610 km)",5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[74],0.20615040764623407,60.60821984799282
Boeing 787-9,2013,304,"4,972 nmi (9,208 km)",5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[67],0.18998174822300004,57.754451459792016
Boeing 787-9,2013,291,"6,542 nmi (12,116 km)",7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[75],0.2549755041940264,74.19787172046169
