Model,First flight,Seats,Fuel burn,Fuel per seat,CO2 per mi per seat,CO2 per mi
Airbus A319,1995,124,2.93 kg/km (10.4 lb/mi),2.95 L/100 km (80 mpg‑US)[60],0.24222672898432507,30.03611439405631
Airbus A319Neo,2015,136,2.4 kg/km (8.6 lb/mi),1.93 L/100 km (122 mpg‑US)[29],0.15883719933398363,21.601859109421774
Airbus A320,1987,150,3.13 kg/km (11.1 lb/mi),2.61 L/100 km (90 mpg‑US)[60],0.21531264798606675,32.29689719791001
Airbus A321-200,1996,180,3.61 kg/km (12.8 lb/mi),2.50 L/100 km (94 mpg‑US)[60],0.20615040764623407,37.107073376322134
Airbus A330-200,1997,293,5.6 kg/km (19.8 lb/mi),2.37 L/100 km (99 mpg‑US)[60],0.19573877089642433,57.35145987265233
Antonov An-148 (1190 nmi),2004,89,2.75 kg/km (9.8 lb/mi),3.86 L/100 km (60.9 mpg‑US)[35],0.31819603150650255,28.319446804078726
Antonov An-158 (1190 nmi),2010,99,2.83 kg/km (10.0 lb/mi),3.57 L/100 km (65.9 mpg‑US)[35],0.29405369224197275,29.111315531955302
Boeing 737-600,1998,110,2.77 kg/km (9.8 lb/mi),3.15 L/100 km (75 mpg‑US)[50],0.2583751775832801,28.42126953416081
Boeing 737-700,1997,126,2.82 kg/km (10.0 lb/mi),2.79 L/100 km (84 mpg‑US)[50],0.23069212284221435,29.06720747811901
Boeing 737-700,1997,128,2.8 kg/km (9.9 lb/mi),2.71 L/100 km (87 mpg‑US)[60],0.2227372220545518,28.51036442298263
Boeing 737 MAX-7,2017,140,2.51 kg/km (8.91 lb/mi),1.94 L/100 km (121 mpg‑US)[29],0.16014990346071079,22.420986484499508
Boeing 737-800,1997,162,3.17 kg/km (11.2 lb/mi),2.44 L/100 km (96 mpg‑US)[50],0.20185560748693754,32.70060841288388
Boeing 737-800,1997,160,3.45 kg/km (12.23 lb/mi),2.68 L/100 km (88 mpg‑US)[60],0.22020611725847739,35.23297876135638
Boeing 737-800W,1997,162,3.18 kg/km (11.3 lb/mi),2.45 L/100 km (96 mpg‑US)[61],0.20185560748693754,32.70060841288388
Boeing 737 MAX-8,2017,162,2.71 kg/km (9.6 lb/mi),2.04 L/100 km (115 mpg‑US)[61],0.16850555059779135,27.2978991968422
Boeing 737-900ER,2006,180,3.42 kg/km (12.1 lb/mi),2.38 L/100 km (99 mpg‑US)[50],0.19573877089642433,35.23297876135638
Boeing 737-900ERW,2006,180,3.42 kg/km (12.1 lb/mi),2.37 L/100 km (99 mpg‑US)[61],0.19573877089642433,35.23297876135638
Boeing 737 MAX-9,2017,180,2.91 kg/km (10.3 lb/mi),2.02 L/100 km (116 mpg‑US)[61],0.16705291654091384,30.06952497736449
Boeing 757-200,1982,190,4.60 kg/km (16.33 lb/mi),3.02 L/100 km (78 mpg‑US)[60],0.24843767075315393,47.20315744309924
Boeing 757-200,1982,200,4.16 kg/km (14.76 lb/mi),2.59 L/100 km (90.8 mpg‑US)[51],0.21341562025050664,42.68312405010133
Boeing 757-300,1998,243,4.68 kg/km (16.62 lb/mi),2.40 L/100 km (98 mpg‑US)[51],0.19773610529332658,48.04987358627836
Airbus A220-100,2013,125,2.28 kg/km (8.1 lb/mi),2.28 L/100 km (103 mpg‑US)[53],0.18813726523054372,23.517158153817967
Airbus A220-300,2015,160,2.56 kg/km (9.08 lb/mi),2.00 L/100 km (118 mpg‑US)[54],0.1642215111758136,26.275441788130177
Airbus A220-300,2015,135,2.30 kg/km (8.17 lb/mi),1.85 L/100 km (127 mpg‑US)[29],0.15258376628933862,20.598808449060712
Quest Kodiak,2004,9,0.71 kg/km (2.52 lb/mi),6.28 L/100 km (37.5 mpg‑US)[62],0.5167503551665602,4.650753196499042
